framework,estimator,variant_key,variant_name,variant_description,metric,mean,std,n,delta_vs_baseline
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.05173179160046852,0.003562256208049998,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,0.9010823583987075,0.05658587530208852,5,
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",mae,2.6011691233201097,0.2661636776547014,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,mae,2.6011691233201097,0.2661636776547014,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",mae,2.5987092007825408,0.27017314606922704,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,mae,2.5987092007825408,0.27017314606922704,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,mae,2.5987092007825408,0.27017314606922704,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,mae,2.5987092007825408,0.27017314606922704,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,mae,2.5987092007825408,0.27017314606922704,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",mae,2.59998779296875,0.2652111566114403,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,mae,2.59998779296875,0.2652111566114403,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,mae,2.59998779296875,0.2652111566114403,5,
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,mae,2.59998779296875,0.2652111566114403,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,mae,2.59998779296875,0.2652111566114403,5,
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",predict_time_sec,0.0025096084020333003,2.4333730502213565e-05,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,predict_time_sec,0.0036452831991481997,0.0006838806764112935,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,predict_time_sec,0.0032352498034014998,0.00019368506953249678,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,predict_time_sec,0.0033739002043147994,2.3565405615044016e-05,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,predict_time_sec,0.00405844999768302,0.0004316304813817413,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",predict_time_sec,0.0019031580013688196,0.0003784568718490022,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,predict_time_sec,0.00207192499947262,0.00044497523716381237,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,predict_time_sec,0.00211995000136082,0.0004714548328188954,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,predict_time_sec,0.0021833754057297,0.0004752874807858576,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,predict_time_sec,0.00429772480274548,0.00272424827819841,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",predict_time_sec,0.0074566918017808,0.0005188598066035811,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,predict_time_sec,0.0079715084051713,0.0010864433551692457,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,predict_time_sec,0.00696529980050396,0.0002960221580332002,5,
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,predict_time_sec,0.006937316799303479,0.0001708849524879563,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,predict_time_sec,0.00790124179620758,0.0013468723282431647,5,
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",r2,-0.03906274274993422,0.06745677088358042,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,r2,-0.03906274274993422,0.06745677088358042,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,r2,-0.03906274274993422,0.06745677088358042,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,r2,-0.03906274274993422,0.06745677088358042,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,r2,-0.03906274274993422,0.06745677088358042,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",r2,-0.036438553968190415,0.0597058834891097,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,r2,-0.036438553968190415,0.0597058834891097,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,r2,-0.036438553968190415,0.0597058834891097,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,r2,-0.036438553968190415,0.0597058834891097,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,r2,-0.036438553968190415,0.0597058834891097,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",r2,-0.03817425062611593,0.06801955927179056,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,r2,-0.03817425062611593,0.06801955927179056,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,r2,-0.03817425062611593,0.06801955927179056,5,
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,r2,-0.03817425062611593,0.06801955927179056,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,r2,-0.03817425062611593,0.06801955927179056,5,
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",rmse,3.047829694344318,0.26954277907026536,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,rmse,3.047829694344318,0.26954277907026536,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,rmse,3.047829694344318,0.26954277907026536,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,rmse,3.047829694344318,0.26954277907026536,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,rmse,3.047829694344318,0.26954277907026536,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",rmse,3.044713834249511,0.27283816019881285,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,rmse,3.044713834249511,0.27283816019881285,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,rmse,3.044713834249511,0.27283816019881285,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,rmse,3.044713834249511,0.27283816019881285,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,rmse,3.044713834249511,0.27283816019881285,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",rmse,3.0464501857757567,0.26881471722994676,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,rmse,3.0464501857757567,0.26881471722994676,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,rmse,3.0464501857757567,0.26881471722994676,5,
feature_ablation_xgboost_quantile_bins,xgboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,rmse,3.0464501857757567,0.26881471722994676,5,
feature_ablation_xgboost_vif_filter,xgboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,rmse,3.0464501857757567,0.26881471722994676,5,
